Gene	Symbol	nTx	tTx	Score	Sign
10196	PRMT3	uc001mqb.2	uc010rdn.1	0.520843223649521	Mutual exclusion
9320	TRIP12	uc002vpx.1	uc002vpy.1	0.520163981192496	Mutual exclusion
152273	FGD5	uc003bzc.2	uc003bzd.2	0.519061791525806	Mutual exclusion
8805	TRIM24	uc003vuc.2	uc003vub.2	0.512949630492711	Mutual exclusion
10681	GNB5	uc002abr.1	uc002abs.1	0.510308026963767	Mutual exclusion
54947	LPCAT2	uc002eie.3	uc002eic.2	0.50819553604104	Mutual exclusion
54503	ZDHHC13	uc001mpi.2	uc001mpj.2	0.504744078261397	Mutual exclusion
90933	TRIM41	uc003mnd.1	uc003mne.1	0.502400108373808	Mutual exclusion
138311	FAM69B	uc004cik.2	uc004cil.2	0.497065858823708	Mutual exclusion
23683	PRKD3	uc002rqd.2	uc002rqf.1	0.496153901140987	Mutual exclusion
4646	MYO6	uc003pih.1	uc003pii.1	0.495059548303779	Mutual exclusion
1075	CTSC	uc001pck.3	uc001pcm.3	0.490890758311623	Mutual exclusion
90806	ANGEL2	uc001hjz.2	uc001hka.2	0.490111951985507	Mutual exclusion
23191	CYFIP1	uc001yus.2	uc001yuu.2	0.48988787012523	Mutual exclusion
51496	CTDSPL2	uc001ztr.2	uc010bdv.2	0.487897506191653	Mutual exclusion
10083	USH1C	uc001mnf.2	uc009yhb.2	0.486516182410016	Mutual exclusion
23241	PACS2	uc001yqt.2	uc001yqs.2	0.484888786627654	Mutual exclusion
23236	PLCB1	uc002wna.2	uc002wnb.2	0.4840687961715	Mutual exclusion
29070	CCDC113	uc002ene.2	uc010vid.1	0.48370463682302	Mutual exclusion
2885	GRB2	uc002jnx.3	uc002jny.3	0.48269169808357	Mutual exclusion
80003	PCNXL2	uc001hvl.2	uc001hvk.1	0.48190509563922	Mutual exclusion
10326	SIRPB1	uc002wfl.3	uc010gai.2	0.481628434942315	Mutual exclusion
103	ADAR	uc001ffk.2	uc001ffj.2	0.478987121608336	Mutual exclusion
9743	ARHGAP32	uc001qez.2	uc009zcp.2	0.478042821504915	Mutual exclusion
10426	TUBGCP3	uc001vse.1	uc001vsf.2	0.476725091169178	Mutual exclusion
54808	DYM	uc002ldi.1	uc010xdf.1	0.47437159537696	Mutual exclusion
7157	TP53	uc002gij.2	uc002gii.1	0.465682792411519	Mutual exclusion
23648	SSBP3	uc001cxg.2	uc001cxe.2	0.463870670911563	Mutual exclusion
27145	FILIP1	uc003phy.1	uc003pia.2	0.461605614566265	Mutual exclusion
79864	C11orf63	uc001pym.2	uc001pyl.1	0.460956508460899	Mutual exclusion
6928	HNF1B	uc002hok.3	uc010wdi.1	0.460709681772251	Mutual exclusion
54332	GDAP1	uc003yah.2	uc003yai.2	0.460250409789117	Mutual exclusion
116983	ACAP3	uc001aeb.2	uc001ady.2	0.4596435990683	Mutual exclusion
81894	SLC25A28	uc001kpx.2	uc001kpy.2	0.453073190953612	Mutual exclusion
221002	RASGEF1A	uc001jap.1	uc001jao.1	0.450980450696923	Mutual exclusion
8714	ABCC3	uc002isl.2	uc002isk.3	0.449247594904651	Mutual exclusion
23141	ANKLE2	uc001ukx.2	uc009zyw.1	0.448375967869541	Mutual exclusion
23293	SMG6	uc002fub.1	uc010vqv.1	0.448194316475602	Mutual exclusion
79837	PIP4K2C	uc001sot.2	uc010srt.1	0.447941932585897	Mutual exclusion
60312	AFAP1	uc003gkg.1	uc011bwk.1	0.447935671554011	Mutual exclusion
9169	SFRS2IP	uc001rox.2	uc001row.2	0.447709158760352	Mutual exclusion
140803	TRPM6	uc004ajk.1	uc010mpe.1	0.444775565754378	Mutual exclusion
22915	MMRN1	uc003hst.2	uc010iku.2	0.438222725244648	Mutual exclusion
1293	COL6A3	uc010znj.1	uc002vwr.2	0.437728512204904	Mutual exclusion
9107	MTMR6	uc001uqf.3	uc001uqe.1	0.436309905348486	Mutual exclusion
2532	DARC	uc001fto.2	uc001ftp.3	0.434871722383371	Mutual exclusion
5837	PYGM	uc001oax.3	uc001oay.3	0.42661305568398	Mutual exclusion
23743	BHMT2	uc003kft.2	uc011cth.1	0.426229337134676	Mutual exclusion
5332	PLCB4	uc002wne.2	uc002wnf.2	0.423573587052981	Mutual exclusion
4088	SMAD3	uc010ujs.1	uc010ujt.1	0.423455311774043	Mutual exclusion
6904	TBCD	uc002kfz.2	uc002kgd.2	0.423376154346076	Mutual exclusion
54680	ZNHIT6	uc001dlh.2	uc010osc.1	0.421844709086925	Mutual exclusion
2313	FLI1	uc010sbu.1	uc010sbt.1	0.421613124411725	Mutual exclusion
3098	HK1	uc001jpl.3	uc001jpk.3	0.421254447688205	Mutual exclusion
8650	NUMB	uc001xob.1	uc001xny.1	0.419269540648392	Mutual exclusion
597	BCL2A1	uc002bfc.3	uc002bfd.3	0.413311071108326	Mutual exclusion
1200	TPP1	uc001mel.1	uc001mek.1	0.412846291307234	Mutual exclusion
26230	TIAM2	uc003qqh.2	uc003qqg.2	0.409713467630816	Mutual exclusion
116068	LYSMD3	uc003kjr.2	uc010jaz.1	0.408882221337277	Mutual exclusion
3475	IFRD1	uc003vgj.2	uc011kmp.1	0.406730338461783	Mutual exclusion
57466	SFRS15	uc002ypd.2	uc010glu.2	0.406101457142403	Mutual exclusion
54899	PXK	uc003djz.1	uc010hnk.1	0.405490284899781	Mutual exclusion
11119	BTN3A1	uc003nhv.2	uc011dkk.1	0.40125579245094	Mutual exclusion
7360	UGP2	uc002scm.2	uc002scl.2	0.401184023189975	Mutual exclusion
10144	FAM13A	uc003hsb.1	uc011cdq.1	0.398362941159831	Mutual exclusion
54542	RC3H2	uc010mwc.1	uc004bng.1	0.3980246355865	Mutual exclusion
1014	CDH16	uc002eql.2	uc002eqm.2	0.396184846727743	Mutual exclusion
121227	LRIG3	uc001sqr.2	uc009zqh.2	0.39493624284023	Mutual exclusion
5494	PPM1A	uc001xey.3	uc001xew.3	0.393359480652773	Mutual exclusion
3090	HIC1	uc002ftz.3	uc010cjy.2	0.390680270340865	Mutual exclusion
54476	RNF216	uc003soy.1	uc011jwj.1	0.388861229294036	Mutual exclusion
1893	ECM1	uc001eus.2	uc001eut.2	0.38225162024654	Mutual exclusion
79836	LONRF3	uc004eqw.2	uc004eqx.2	0.376732011915701	Mutual exclusion
64866	CDCP1	uc003com.2	uc003con.2	0.375947705888375	Mutual exclusion
6730	SRP68	uc002jqk.1	uc002jqj.1	0.375381520419408	Mutual exclusion
55239	OGFOD1	uc002ejb.2	uc002ejc.2	0.374115348502865	Mutual exclusion
11217	AKAP2	uc011lwj.1	uc004bem.2	0.374115117134606	Mutual exclusion
958	CD40	uc002xrg.1	uc002xrh.1	0.372528090770491	Mutual exclusion
57211	GPR126	uc010khd.2	uc010khc.2	0.372372309989108	Mutual exclusion
26088	GGA1	uc003atc.2	uc003atd.2	0.371631401922954	Mutual exclusion
84181	CHD6	uc002xka.1	uc002xkc.2	0.369604055032215	Mutual exclusion
10398	MYL9	uc002xfl.1	uc002xfm.1	0.369064637370553	Mutual exclusion
6885	MAP3K7	uc003pob.1	uc003poa.1	0.368092354829015	Mutual exclusion
50650	ARHGEF3	uc003dig.2	uc010hmy.1	0.365090615919679	Mutual exclusion
4719	NDUFS1	uc002vbe.2	uc010zis.1	0.363364343072437	Mutual exclusion
329	BIRC2	uc001pgy.2	uc010ruq.1	0.363320149909684	Mutual exclusion
57706	DENND1A	uc004bnz.1	uc004bob.1	0.363309419526454	Mutual exclusion
